[0.555s] Invoking command in '/home/pizzu01/ros2_humble/build/tm_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pizzu01/ros2_humble/install/ros_tcp_endpoint:/home/pizzu01/ros2_humble/install/my_ros2_package:/home/pizzu01/install/ros_tcp_endpoint:/home/pizzu01/install/my_ros2_package /usr/bin/cmake /home/pizzu01/ros2_humble/src/tm_description -DCMAKE_INSTALL_PREFIX=/home/pizzu01/ros2_humble/install/tm_description
[0.895s] -- The C compiler identification is GNU 11.4.0
[1.789s] -- The CXX compiler identification is GNU 11.4.0
[2.150s] -- Detecting C compiler ABI info
[2.321s] -- Detecting C compiler ABI info - done
[2.328s] -- Check for working C compiler: /usr/bin/cc - skipped
[2.332s] -- Detecting C compile features
[2.333s] -- Detecting C compile features - done
[2.338s] -- Detecting CXX compiler ABI info
[2.519s] -- Detecting CXX compiler ABI info - done
[2.527s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[2.527s] -- Detecting CXX compile features
[2.528s] -- Detecting CXX compile features - done
[2.541s] -- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
[2.742s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[2.978s] -- Configuring done
[2.985s] -- Generating done
[2.989s] -- Build files have been written to: /home/pizzu01/ros2_humble/build/tm_description
[2.996s] Invoked command in '/home/pizzu01/ros2_humble/build/tm_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pizzu01/ros2_humble/install/ros_tcp_endpoint:/home/pizzu01/ros2_humble/install/my_ros2_package:/home/pizzu01/install/ros_tcp_endpoint:/home/pizzu01/install/my_ros2_package /usr/bin/cmake /home/pizzu01/ros2_humble/src/tm_description -DCMAKE_INSTALL_PREFIX=/home/pizzu01/ros2_humble/install/tm_description
[2.999s] Invoking command in '/home/pizzu01/ros2_humble/build/tm_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pizzu01/ros2_humble/install/ros_tcp_endpoint:/home/pizzu01/ros2_humble/install/my_ros2_package:/home/pizzu01/install/ros_tcp_endpoint:/home/pizzu01/install/my_ros2_package /usr/bin/cmake --build /home/pizzu01/ros2_humble/build/tm_description -- -j4 -l4
[3.045s] Invoked command in '/home/pizzu01/ros2_humble/build/tm_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pizzu01/ros2_humble/install/ros_tcp_endpoint:/home/pizzu01/ros2_humble/install/my_ros2_package:/home/pizzu01/install/ros_tcp_endpoint:/home/pizzu01/install/my_ros2_package /usr/bin/cmake --build /home/pizzu01/ros2_humble/build/tm_description -- -j4 -l4
[3.058s] Invoking command in '/home/pizzu01/ros2_humble/build/tm_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pizzu01/ros2_humble/install/ros_tcp_endpoint:/home/pizzu01/ros2_humble/install/my_ros2_package:/home/pizzu01/install/ros_tcp_endpoint:/home/pizzu01/install/my_ros2_package /usr/bin/cmake --install /home/pizzu01/ros2_humble/build/tm_description
[3.067s] -- Install configuration: ""
[3.068s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf
[3.068s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/common.gazebo.xacro
[3.073s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm700.urdf.xacro
[3.073s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm700_robot_joint_limited_eih.urdf.xacro
[3.074s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900_robot.urdf.xacro:Zone.Identifier
[3.075s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900_robot_joint_limited.urdf.xacro
[3.075s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900.eih.xacro:Zone.Identifier
[3.076s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900_robot_eih.urdf.xacro:Zone.Identifier
[3.076s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm700.eih.xacro
[3.077s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/common.gazebo.xacro:Zone.Identifier
[3.078s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900_robot_eih.urdf.xacro
[3.079s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900.eih.xacro
[3.079s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm700_robot.urdf.xacro
[3.080s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900_robot_prova2.urdf
[3.080s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm700_robot_eih.urdf.xacro
[3.081s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm700_robot.urdf.xacro:Zone.Identifier
[3.082s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900.urdf.xacro:Zone.Identifier
[3.083s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm900_robot_joint_limited_eih.urdf.xacro:Zone.Identifier
[3.083s] -- Installing: /home/pizzu01/ros2_humble/install/tm_description/share/tm_description/urdf/tm.gazebo.xacro
